Table Name,ax_jesd_configuration_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Description,Additional JESD configuration parameters for each JESD use case index.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single entry bitwidth,32*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base type bit layout,,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0
Bit Field Name,,,TX_LATENCY_DELAY,,,,,,,,JESD_NUM_MIN_EMB,,TX_SAMPLE_POS,,,TX_SAMPLE_NEG,,,res_15,JESD_SONI,,,JESD_SAMPLE_TO_CHAR_RATIO,,,JESD_HD_FLAG,JESD_SAMPLES_PER_FRAME_S,JESD_OCTETS_PER_FRAME_F,,,,,JESD_SAMPLE_WIDTH_N,JESD_1P5G_CLK
Bit Field Description,,,Number of reference clocks that transmit data is delayed through the JESD.,,,,,,,,Number of minimum EMB,,Positive/Negative is a ratio of clocks with data versus clocks without data.   The positive sample is number of consecutive clocks with data between negative clocks.,,,Positive/Negative is a ratio of clocks with data versus clocks without data.   The negative sample is number of consecutive clocks without data between positive clocks.,,,reserved,JESD Samples on Interface (SONI).,,,Clock ratio CHAR * (N+1) = Sample,,,JESD High density = 1,"Number of samples per frame minus 1.  (0=1 sample, 1=2 samples)   S parameter.",Number of octets in a frame minus 1.  F parameter.,,,,,"Set to 0 for 16 bit, 1 for 24 bit.  N parameter.",Set to 1 if JESD case uses 1p5Ghz input clock
Unit [string],,,clocks,,,,,,,,bits,,bits,,,bits,,,bits,bits,,,bits,,,bits,bits,bits,,,,,bits,bits
Granularity,,,1,,,,,,,,1,,1,,,1,,,1,1,,,1,,,1,1,1,,,,,1,1
Minimum Value,,,0,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,0,,,,,0,0
Maximum Value,,,31,,,,,,,,3,,4,,,4,,,0,4,,,7,,,1,1,31,,,,,1,1
Sign Type,,,unsigned,,,,,,,,unsigned,,unsigned,,,unsigned,,,unsigned,unsigned,,,unsigned,,,unsigned,unsigned,unsigned,,,,,unsigned,unsigned
Bit Field Width,,,8,,,,,,,,2,,3,,,3,,,1,3,,,3,,,1,1,5,,,,,1,1
subtable dimension and name,96*1,,ax_jesd_configuration_lut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,17,,,,,,,,1,,1,,,3,,,0,1,,,1,,,0,0,31,,,,,0,0
1,,,17,,,,,,,,1,,1,,,3,,,0,1,,,1,,,0,0,31,,,,,0,0
2,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
3,,,17,,,,,,,,1,,1,,,3,,,0,1,,,1,,,0,0,31,,,,,0,0
4,,,17,,,,,,,,1,,1,,,3,,,0,1,,,1,,,0,0,31,,,,,0,0
5,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
6,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
7,,,17,,,,,,,,1,,1,,,3,,,0,1,,,1,,,0,0,31,,,,,0,0
8,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
9,,,17,,,,,,,,1,,1,,,3,,,0,1,,,1,,,0,0,31,,,,,0,0
10,,,12,,,,,,,,1,,1,,,3,,,0,2,,,1,,,0,1,31,,,,,0,0
11,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,1
12,,,11,,,,,,,,3,,2,,,1,,,0,1,,,1,,,0,0,11,,,,,1,1
13,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
14,,,11,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,7,,,,,0,0
15,,,11,,,,,,,,3,,2,,,1,,,0,1,,,1,,,0,0,11,,,,,1,1
16,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
17,,,12,,,,,,,,1,,1,,,1,,,0,1,,,1,,,0,0,15,,,,,0,0
18,,,11,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,7,,,,,0,1
19,,,11,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,7,,,,,0,1
20,,,11,,,,,,,,3,,2,,,1,,,0,1,,,2,,,0,0,5,,,,,1,1
21,,,11,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,7,,,,,0,0
22,,,9,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,3,,,,,0,0
23,,,11,,,,,,,,3,,2,,,1,,,0,1,,,2,,,0,0,5,,,,,1,1
24,,,11,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,7,,,,,0,0
25,,,11,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,7,,,,,0,0
26,,,9,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,3,,,,,0,1
27,,,9,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,3,,,,,0,1
28,,,9,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,3,,,,,0,0
29,,,12,,,,,,,,1,,1,,,0,,,0,2,,,1,,,0,0,3,,,,,0,0
30,,,12,,,,,,,,1,,1,,,0,,,0,2,,,1,,,0,0,3,,,,,0,0
31,,,7,,,,,,,,1,,1,,,0,,,0,2,,,2,,,0,0,1,,,,,0,1
32,,,10,,,,,,,,1,,1,,,0,,,0,4,,,1,,,0,0,1,,,,,0,0
33,,,10,,,,,,,,1,,1,,,0,,,0,4,,,1,,,0,0,1,,,,,0,0
34,,,6,,,,,,,,1,,1,,,0,,,0,4,,,2,,,1,0,0,,,,,0,1
35,,,6,,,,,,,,1,,1,,,0,,,0,4,,,2,,,1,0,0,,,,,0,0
36,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
37,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
38,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
39,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
40,,,17,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,31,,,,,0,1
41,,,15,,,,,,,,3,,2,,,1,,,0,1,,,2,,,0,0,23,,,,,1,1
42,,,17,,,,,,,,1,,1,,,0,,,0,1,,,1,,,0,0,31,,,,,0,0
43,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
44,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
45,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
46,,,11,,,,,,,,3,,2,,,1,,,0,1,,,4,,,0,0,11,,,,,1,1
47,,,11,,,,,,,,3,,2,,,1,,,0,1,,,4,,,0,0,11,,,,,1,1
48,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,0
49,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,0
50,,,13,,,,,,,,1,,4,,,1,,,0,1,,,2,,,0,0,19,,,,,0,0
51,,,15,,,,,,,,3,,2,,,1,,,0,1,,,2,,,0,0,23,,,,,0,1
52,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,1
53,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,1
54,,,12,,,,,,,,1,,1,,,0,,,0,1,,,2,,,0,0,15,,,,,0,1
55,,,14,,,,,,,,3,,2,,,1,,,0,8,,,1,,,0,0,5,,,,,1,1
56,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,0
57,,,13,,,,,,,,1,,4,,,1,,,0,2,,,2,,,0,1,19,,,,,0,0
58,,,11,,,,,,,,1,,1,,,0,,,0,1,,,4,,,0,0,7,,,,,0,0
59,,,13,,,,,,,,1,,4,,,1,,,0,2,,,2,,,0,1,19,,,,,0,0
60,,,15,,,,,,,,3,,2,,,1,,,0,2,,,2,,,0,1,23,,,,,0,1
61,,,12,,,,,,,,1,,1,,,0,,,0,2,,,4,,,0,0,3,,,,,0,1
62,,,12,,,,,,,,1,,1,,,0,,,0,2,,,2,,,0,1,15,,,,,0,1
63,,,12,,,,,,,,1,,1,,,0,,,0,2,,,4,,,0,0,3,,,,,0,1
64,,,12,,,,,,,,1,,1,,,0,,,0,2,,,2,,,0,1,15,,,,,0,1
65,,,11,,,,,,,,3,,2,,,1,,,0,4,,,4,,,0,0,2,,,,,1,1
66,,,11,,,,,,,,3,,2,,,1,,,0,4,,,4,,,0,0,2,,,,,1,1
67,,,12,,,,,,,,1,,1,,,0,,,0,2,,,4,,,0,0,3,,,,,0,0
68,,,13,,,,,,,,1,,4,,,1,,,0,4,,,2,,,0,0,4,,,,,0,0
69,,,14,,,,,,,,3,,2,,,1,,,0,4,,,2,,,0,0,5,,,,,1,1
70,,,12,,,,,,,,1,,1,,,0,,,0,4,,,2,,,0,0,3,,,,,0,0
71,,,13,,,,,,,,1,,4,,,1,,,0,8,,,1,,,0,0,4,,,,,0,0
72,,,14,,,,,,,,3,,2,,,1,,,0,4,,,2,,,0,0,5,,,,,0,1
73,,,14,,,,,,,,3,,2,,,1,,,0,4,,,2,,,0,0,5,,,,,1,1
74,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,1
75,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,1
76,,,12,,,,,,,,1,,1,,,0,,,0,4,,,2,,,0,0,3,,,,,0,1
77,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,0
78,,,13,,,,,,,,1,,4,,,1,,,0,8,,,2,,,0,1,4,,,,,0,0
79,,,11,,,,,,,,3,,2,,,1,,,0,8,,,2,,,0,0,2,,,,,1,1
80,,,10,,,,,,,,1,,1,,,0,,,0,4,,,4,,,0,0,1,,,,,0,0
81,,,13,,,,,,,,1,,4,,,1,,,0,8,,,2,,,0,1,4,,,,,0,0
82,,,11,,,,,,,,3,,2,,,1,,,0,8,,,2,,,0,0,2,,,,,1,1
83,,,10,,,,,,,,1,,1,,,0,,,0,8,,,2,,,0,0,1,,,,,0,1
84,,,9,,,,,,,,1,,1,,,0,,,0,8,,,4,,,1,0,0,,,,,0,0
85,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
86,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
87,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
88,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
89,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
90,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
91,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
92,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
93,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
94,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
95,,,0,,,,,,,,0,,0,,,0,,,0,0,,,0,,,0,0,0,,,,,0,0
